"airline_id","carrier","carrier_name","region","entity"
20372,"KLQ","Kalitta Charters II","D","6774"
21635,"LF","CFM Inc d/b/a Contour Airlines","D","1189"
19930,"AS","Alaska Airlines Inc.","D","6031"
19917,"5X","United Parcel Service","D","6910"
20263,"EM","Empire Airlines Inc.","D","6299"
19687,"QX","Horizon Air","D","6580"
21161,"09Q","Swift Air, LLC","D","1130"
19393,"WN","Southwest Airlines Co.","L","11033"
20378,"YV","Mesa Airlines Inc.","D","6689"
20409,"B6","JetBlue Airways","D","6673"
20363,"9E","Endeavor Air Inc.","D","7024"
20402,"GL","Miami Air International","D","6690"
20436,"F9","Frontier Airlines Inc.","D","6460"
20190,"9S","Southern Air Inc.","D","6841"
20398,"MQ","Envoy Air","D","6820"
20452,"YX","Republic Airlines","D","6003"
19790,"DL","Delta Air Lines Inc.","D","1260"
20237,"AX","Trans States Airlines","D","6904"
20377,"X9","Omni Air International LLC","I","16736"
19977,"UA","United Air Lines Inc.","P","10877"
20368,"G4","Allegiant Air","D","6035"
20366,"EV","ExpressJet Airlines Inc.","D","6085"
19805,"AA","American Airlines Inc.","D","0A050"
20225,"KS","Peninsula Airways Inc.","D","6975"
21477,"1AQ","Via Airlines d/b/a Charter Air Transport","D","1158"
21080,"04Q","Tradewind Aviation","D","1126"
20500,"G7","GoJet Airlines LLC d/b/a United Express","D","7041"
20416,"NK","Spirit Air Lines","D","6830"
21167,"CP","Compass Airlines","D","1131"
20107,"FX","Federal Express Corporation","D","6200"
21599,"4B","Boutique Air","D","1177"
21352,"0WQ","Avjet Corporation","D","1150"
20354,"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways","D","6081"
20304,"OO","SkyWest Airlines Inc.","D","6700"
20201,"AMQ","Ameristar Air Cargo","D","6055"
20358,"ZK","Great Lakes Airlines","D","6932"
21171,"VX","Virgin America","D","1006"
21652,"27Q","Jet Aviation Flight Services, Inc.","D","1194"
20447,"U7","USA Jet Airlines Inc.","D","6912"
20422,"SY","Sun Country Airlines d/b/a MN Airlines","D","6795"
