"airline_id","group_id","active_group"
20416,3,True
21171,3,True
20422,2,True
20201,4,True
20225,1,False
21599,6,True
20358,6,True
20237,1,False
21161,1,True
20452,2,True
20409,3,True
20263,1,False
19917,3,True
20372,1,True
20363,2,True
19930,3,True
19687,2,True
20436,3,True
20354,1,False
20500,2,True
20358,1,False
21599,1,False
20107,3,True
21652,1,True
21635,6,True
20201,1,False
20378,2,True
19790,3,True
21167,2,True
20377,2,True
20354,5,True
20398,3,True
21080,1,False
21477,6,True
20402,2,True
20447,2,True
20366,3,True
21635,1,False
19977,3,True
21352,1,True
20237,5,True
20225,5,True
20304,3,True
20368,3,True
21477,1,False
19393,3,True
21080,6,True
20190,2,True
19805,3,True
20263,5,True
