"airport_id","scheduled","performed"
10140,294,294
10194,19,19
10221,52,49
10257,30,30
10272,104,104
10279,56,56
10299,50,50
10325,0,4
10372,384,377
10397,585,585
10409,0,0
10423,319,320
10466,9,11
10529,60,61
10558,1,47
10559,0,0
10561,56,56
10590,0,4
10599,60,60
10620,137,137
10627,133,132
10643,9,9
10693,235,234
10713,183,183
10721,265,263
10747,0,1
10792,0,0
10800,140,141
10821,231,229
10849,129,129
10925,52,51
10950,104,104
10994,28,28
11003,82,82
11042,149,149
11057,270,270
11066,151,152
11092,56,56
11097,30,30
11109,926,923
11122,145,145
11140,0,0
11193,161,183
11233,5,8
11259,202,199
11267,56,56
11278,121,121
11283,0,19
11292,23290,23460
11298,855,839
11315,52,53
11376,0,1
11413,374,369
11423,173,173
11433,294,294
11447,22,22
11468,0,56
11481,0,0
11503,58,59
11540,117,116
11563,0,1
11603,59,59
11618,307,306
11637,110,110
11638,135,133
11648,60,60
11697,119,119
11711,90,90
11719,0,1
11775,140,140
11840,0,1
11865,56,56
11884,123,123
11921,445,443
11973,0,0
11986,90,89
11995,13,13
11996,0,0
12003,83,83
12012,8,8
12094,52,52
12156,30,30
12173,30,30
12191,174,175
12217,30,29
12255,52,51
12264,347,347
12266,524,522
12278,140,139
12280,89,89
12339,270,269
12389,86,88
12441,117,117
12448,0,0
12451,30,30
12478,129,128
12519,30,30
12544,0,1
12758,24,24
12888,54,54
12889,616,617
12891,0,0
12892,960,958
12896,59,58
12899,0,48
12902,0,22
12953,371,364
12954,8,9
12982,4,4
12992,92,91
13029,89,89
13158,60,60
13198,379,379
13200,52,52
13204,325,325
13232,267,264
13244,225,225
13264,56,56
13303,118,118
13341,0,1
13342,212,211
13367,53,53
13433,61,60
13485,76,76
13486,153,152
13487,555,556
13495,150,148
13502,176,174
13796,155,156
13830,24,24
13851,232,233
13871,261,260
13891,133,134
13930,770,762
13931,7,7
13964,6,6
14057,334,335
14081,0,0
14100,271,268
14107,811,809
14120,51,51
14122,144,144
14193,7,7
14252,60,59
14262,62,61
14275,0,0
14288,78,79
14457,174,174
14489,53,53
14492,153,152
14512,18,18
14524,30,30
14534,41,40
14543,56,56
14570,139,139
14576,0,1
14635,1,1
14674,60,60
14679,442,441
14683,205,204
14689,60,60
14698,23,23
14730,176,176
14747,694,692
14771,668,669
14783,83,83
14792,0,1
14794,60,60
14814,29,29
14831,223,223
14869,862,861
14877,52,52
14893,282,282
14908,318,318
15016,351,350
15041,0,0
15177,10,1
15304,184,184
15370,173,173
15376,150,150
15412,47,46
15570,0,0
15582,52,51
15919,56,56
16091,0,0
